Days Transmitted,Last Transmission,Life Stage,Name,Project Name,Release Date,Species,Tag Id,Gender,Release Location,Maps
2374.0,2018-11-28,Adult,"113435 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-29,Wood Stork,113435,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113435&full=1&lang=', '/tracking/index.shtml?tag_id=113435&zoom=1', '/tracking/index.shtml?tag_id=113435&anime=1']"
943.0,2014-12-29,Adult,"113436 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-30,Wood Stork,113436,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113436&full=1&lang=', '/tracking/index.shtml?tag_id=113436&zoom=1', '/tracking/index.shtml?tag_id=113436&anime=1']"
968.0,2015-01-22,Adult,"113437 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-29,Wood Stork,113437,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113437&full=1&lang=', '/tracking/index.shtml?tag_id=113437&zoom=1', '/tracking/index.shtml?tag_id=113437&anime=1']"
2668.0,2019-09-20,Adult,113438 Washo Adult 2012 ,Wood Stork Telemetry Project,2012-05-31,Wood Stork,113438,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113438&full=1&lang=', '/tracking/index.shtml?tag_id=113438&zoom=1', '/tracking/index.shtml?tag_id=113438&anime=1']"
1327.0,2016-01-17,Adult,"113439 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-30,Wood Stork,113439,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113439&full=1&lang=', '/tracking/index.shtml?tag_id=113439&zoom=1', '/tracking/index.shtml?tag_id=113439&anime=1']"
2476.0,2019-03-11,Adult,"113440 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-30,Wood Stork,113440,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113440&full=1&lang=', '/tracking/index.shtml?tag_id=113440&zoom=1', '/tracking/index.shtml?tag_id=113440&anime=1']"
2669.0,2019-09-20,Adult,"113441 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-30,Wood Stork,113441,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113441&full=1&lang=', '/tracking/index.shtml?tag_id=113441&zoom=1', '/tracking/index.shtml?tag_id=113441&anime=1']"
1593.0,2016-10-10,Adult,"113442 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-31,Wood Stork,113442,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113442&full=1&lang=', '/tracking/index.shtml?tag_id=113442&zoom=1', '/tracking/index.shtml?tag_id=113442&anime=1']"
935.0,2014-12-21,Adult,"113443 Washo Adult, 2012 ",Wood Stork Telemetry Project,2012-05-30,Wood Stork,113443,unknown,"Washo Reserve, SC","['/tracking/index.shtml?tag_id=113443&full=1&lang=', '/tracking/index.shtml?tag_id=113443&zoom=1', '/tracking/index.shtml?tag_id=113443&anime=1']"
2125.0,2017-02-17,Adult,47528 ENP Adult 2011 ,Wood Stork Telemetry Project,2011-04-25,Wood Stork,47528,unknown,South Florida,"['/tracking/index.shtml?tag_id=47528&full=1&lang=', '/tracking/index.shtml?tag_id=47528&zoom=1', '/tracking/index.shtml?tag_id=47528&anime=1']"
